Weight Function,FixedWeightFunction-1.0,LinearWeightFunction-0.5,LinearWeightFunction-0.2,LinearWeightFunction-0.1,LinearWeightFunction-0.05,DecayWeightFunction--10.0,DecayWeightFunction--1.0,DecayWeightFunction--0.1,DecayWeightFunction--0.01,GaussianWeightFunction-0.0-1.5,GaussianWeightFunction-1.0-1.5,GaussianWeightFunction-2.0-1.5,GaussianWeightFunction-5.0-1.5,GaussianWeightFunction-10.0-1.5,
Reasoning Method,KNN,
Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
Fixed Sequence Simulation Global F1,0.6212524,0.6255215,0.6157069,0.6239891,0.62769663,0.61602616,0.6128049,0.6237073,0.61228836,0.61191005,0.61115146,0.62125075,0.61919063,0.6178818,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.6718571,0.67542857,0.66814286,0.6677143,0.67142856,0.667,0.66714287,0.66985714,0.66585714,0.6752857,0.66714287,0.67228574,0.6622857,0.6701428,
Smart Explorer Simulation Global F1,0.46904057,0.47710484,0.4637424,0.46140862,0.46839523,0.46008372,0.4613362,0.46571654,0.46037206,0.47548515,0.45859402,0.4676977,0.4548728,0.466057,

Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Iteration,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.36457142,0.35385713,0.35142857,0.34357142,0.35714287,0.34314287,0.34442857,0.3524286,0.354,0.3577143,0.34557143,0.35742858,0.35128573,0.348,
Smart Random Simulation Global F1,0.36343652,0.35301214,0.35071582,0.34272265,0.3560969,0.3418702,0.34336,0.35133216,0.3533736,0.35625547,0.3446948,0.35648626,0.35039017,0.34700638,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.83014286,0.83285713,0.8364286,0.8312857,0.8345714,0.8352857,0.8307143,0.84014285,0.8332857,0.8324286,0.83485717,0.83671427,0.83585715,0.83014286,
Straight Line Simulation Global F1,0.8300025,0.83282864,0.83641106,0.8307463,0.8342403,0.83526266,0.8301931,0.83997214,0.83328724,0.8322532,0.83480674,0.8365474,0.8358164,0.8302277,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.815,0.82685715,0.82214284,0.82,0.8148571,0.81885713,0.8132857,0.81957144,0.8155714,0.8198571,0.8207143,0.8207143,0.819,0.817,
Zig Zag Simulation Global F1,0.7183596,0.7237501,0.7152445,0.71369016,0.709194,0.7267779,0.71493065,0.72313786,0.71288407,0.720228,0.7186353,0.71794033,0.7180203,0.71814287,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.62042856,0.62128574,0.62385714,0.617,0.61285716,0.6174286,0.62628573,0.6144286,0.61885715,0.60414284,0.6258571,0.61885715,0.622,0.622,
Fixed Sequence Simulation Global F1,0.62140465,0.62181604,0.62460005,0.6179584,0.61407644,0.61872995,0.62754095,0.6155466,0.6199583,0.60513324,0.6268344,0.6201972,0.62275213,0.6230625,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.6757143,0.66714287,0.6685714,0.6701428,0.6752857,0.67057145,0.6668571,0.6692857,0.67,0.6687143,0.6662857,0.6644286,0.67228574,0.6611429,
Smart Explorer Simulation Global F1,0.47447547,0.4609662,0.4631111,0.46713907,0.47495565,0.4678026,0.46359342,0.46683177,0.4652447,0.4629089,0.46061134,0.45636934,0.46768427,0.45224482,

Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Iteration,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.35214287,0.34928572,0.351,0.35828573,0.352,0.35414284,0.3532857,0.3502857,0.349,0.3482857,0.35114285,0.35857144,0.35085714,0.36014286,
Smart Random Simulation Global F1,0.35083255,0.34890598,0.35006848,0.35765937,0.3515796,0.35312256,0.35286292,0.34950235,0.347991,0.34800914,0.35036287,0.35703653,0.35007074,0.35950732,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.8442857,0.82771426,0.85228574,0.8372857,0.8387143,0.832,0.8241429,0.8378571,0.8272857,0.8338571,0.8381429,0.83414286,0.82514286,0.8324286,
Straight Line Simulation Global F1,0.843904,0.8275635,0.8521671,0.8372681,0.8384814,0.8319721,0.8241682,0.8378364,0.82691205,0.83363706,0.83776724,0.8338038,0.8254543,0.8324808,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.8191429,0.82214284,0.8248571,0.8222857,0.8184286,0.82114285,0.8174286,0.823,0.824,0.82185715,0.816,0.8157143,0.82357144,0.827,
Zig Zag Simulation Global F1,0.71263796,0.7245048,0.7278001,0.7241136,0.71770436,0.716832,0.7140784,0.72464937,0.72303617,0.7237468,0.7139181,0.71992815,0.72177833,0.71800756,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.612,0.61471426,0.6277143,0.6174286,0.6342857,0.62142855,0.61414284,0.6142857,0.61314285,0.6224286,0.6144286,0.62114286,0.6152857,0.6257143,
Fixed Sequence Simulation Global F1,0.61301076,0.6156184,0.62860644,0.61827433,0.6354611,0.62197846,0.6149218,0.6152518,0.6139223,0.6236635,0.61521655,0.6218369,0.6161276,0.6265379,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.6697143,0.67485714,0.6704286,0.6627143,0.6612857,0.669,0.6725714,0.67485714,0.67057145,0.6695714,0.673,0.6694286,0.66742855,0.6695714,
Smart Explorer Simulation Global F1,0.463677,0.47453004,0.46877593,0.45285282,0.4522461,0.46432027,0.4725007,0.4746538,0.46748513,0.46581364,0.47303438,0.46664628,0.46451092,0.4660464,

Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Iteration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.36342856,0.35714287,0.35628572,0.35814285,0.3537143,0.34942856,0.36257142,0.35514286,0.35085714,0.34842858,0.3522857,0.34728572,0.353,0.36114284,
Smart Random Simulation Global F1,0.36262316,0.35674584,0.35529912,0.35687026,0.35316464,0.34924155,0.36201227,0.3546334,0.34961206,0.34781218,0.35164648,0.3464348,0.35262352,0.3600158,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.9021429,0.94285715,0.92314285,0.90757143,0.913,0.9448571,0.946,0.9054286,0.9142857,0.9405714,0.92728573,0.90171427,0.8715714,0.8668572,
Straight Line Simulation Global F1,0.90210164,0.9426822,0.9231124,0.90735126,0.91288096,0.9446845,0.9458935,0.9051919,0.91414666,0.94046503,0.9271118,0.90167177,0.8711206,0.86655366,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.90742856,0.9432857,0.94,0.9257143,0.91642857,0.9507143,0.9512857,0.92228574,0.9144286,0.9484286,0.94114286,0.90985715,0.85057145,0.8471429,
Zig Zag Simulation Global F1,0.8197605,0.84104556,0.8549372,0.84139234,0.8325161,0.8638798,0.8679481,0.8379792,0.8272778,0.85877043,0.8547534,0.82884884,0.7670332,0.7681072,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.8072857,0.7178571,0.8117143,0.8141429,0.8108571,0.77942854,0.8174286,0.8102857,0.80957144,0.8102857,0.812,0.81142855,0.7968571,0.7967143,
Fixed Sequence Simulation Global F1,0.80734175,0.7177324,0.8117352,0.8141091,0.8108841,0.77945,0.8174989,0.81027204,0.80959344,0.8103444,0.81200397,0.8114909,0.7966691,0.7966287,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.7207143,0.7114286,0.71842855,0.7195714,0.7155714,0.7252857,0.7128571,0.71171427,0.7212857,0.71842855,0.716,0.7227143,0.7005714,0.7064286,
Smart Explorer Simulation Global F1,0.5261615,0.5116927,0.5229829,0.5253281,0.5179837,0.5344451,0.51192534,0.511019,0.52708846,0.522515,0.5174629,0.5286874,0.4942091,0.50694007,

Random Type:,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,
k,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Iteration,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Smart Random Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Smart Random Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Random Simulation Matrix Accuracy,0.35671428,0.35285714,0.35671428,0.3592857,0.34914285,0.35985714,0.35285714,0.36528572,0.35014287,0.354,0.35657144,0.35814285,0.35128573,0.35257143,
Smart Random Simulation Global F1,0.35560295,0.35146347,0.35595953,0.35843983,0.34830108,0.35867703,0.35161293,0.36446396,0.34973922,0.35325354,0.3555423,0.35706535,0.3505227,0.35153142,
Straight Line Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Straight Line Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Straight Line Simulation Matrix Accuracy,0.89928573,0.94285715,0.91985714,0.91257143,0.90314287,0.94528574,0.94357145,0.9072857,0.90757143,0.9417143,0.9292857,0.898,0.86885715,0.8634286,
Straight Line Simulation Global F1,0.89920896,0.94266534,0.9196644,0.91244173,0.9031098,0.9450754,0.94346577,0.9071034,0.90751994,0.94151783,0.9290792,0.897907,0.8687187,0.86326855,
Zig Zag Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Zig Zag Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Zig Zag Simulation Matrix Accuracy,0.9064286,0.94285715,0.93814284,0.92485714,0.9144286,0.9497143,0.95028573,0.915,0.9144286,0.9474286,0.9427143,0.907,0.8454286,0.8454286,
Zig Zag Simulation Global F1,0.8204232,0.8426467,0.8511575,0.8463415,0.83283585,0.8604095,0.8651968,0.82145923,0.83041525,0.85648644,0.8556227,0.8179939,0.7609277,0.76197356,
Fixed Sequence Simulation Expected Actions,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fixed Sequence Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Fixed Sequence Simulation Matrix Accuracy,0.8155714,0.71171427,0.81185716,0.8035714,0.809,0.78814286,0.8094286,0.81,0.812,0.81285715,0.81457144,0.8122857,0.80471426,0.80042857,
Fixed Sequence Simulation Global F1,0.8155511,0.7117876,0.812039,0.8034976,0.80892944,0.78811914,0.8095255,0.8100416,0.81194437,0.8130529,0.814605,0.81246924,0.80477065,0.80025184,
Smart Explorer Simulation Expected Actions,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Smart Explorer Simulation Matrix Total,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Smart Explorer Simulation Matrix Accuracy,0.722,0.7105714,0.7252857,0.72185713,0.7202857,0.7222857,0.717,0.7171429,0.72328573,0.71614283,0.72085714,0.7154286,0.70914286,0.70428574,
